iata;icao;name;runways;longest;elevation;country;region;city;lat;lon
SGU;KSGU;St George Municipal Airport;1;6606;2941;US;US-UT;St George;37.0363888889;-113.510305556
TWF;KTWF;Joslin Field Magic Valley Regional Airport;2;8703;4154;US;US-ID;Twin Falls;42.48180008;-114.487999
VEL;KVEL;Vernal Regional Airport;2;6201;5278;US;US-UT;Vernal;40.4408989;-109.5100021
XUZ;ZSXZ;Xuzhou Guanyin Airport;1;11548;115;CN;CN-32;Xuzhou;34.059056;117.555278
SYX;ZJSY;Sanya Phoenix International Airport;1;11155;92;CN;CN-46;Sanya;18.3029003143311;109.412002563477
BKG;KBBG;Branson Airport;1;7140;1302;US;US-MO;Branson;36.532082;-93.200544
YMM;CYMM;Fort McMurray Airport;1;7503;1211;CA;CA-AB;Fort McMurray;56.653301239;-111.222000122
AIA;KAIA;Alliance Municipal Airport;3;9202;3931;US;US-NE;Alliance;42.0531997681;-102.804000854
ALS;KALS;San Luis Valley Regional Bergman Field;2;8519;7539;US;US-CO;Alamosa;37.4348983765;-105.866996765
BFF;KBFF;Western Neb. Rgnl/William B. Heilig Airport;2;8279;3967;US;US-NE;Scottsbluff;41.87400055;-103.5960007
BIS;KBIS;Bismarck Municipal Airport;2;8794;1661;US;US-ND;Bismarck;46.7727012634277;-100.746002197266
CEZ;KCEZ;Cortez Municipal Airport;1;7205;5918;US;US-CO;Cortez;37.3030014038;-108.627998352
CYS;KCYS;Cheyenne Regional Jerry Olson Field;2;9267;6159;US;US-WY;Cheyenne;41.15570068;-104.8119965
DDC;KDDC;Dodge City Regional Airport;2;6899;2594;US;US-KS;Dodge City;37.7634010314941;-99.9655990600586
DIK;KDIK;Dickinson Theodore Roosevelt Regional Airport;2;6400;2592;US;US-ND;Dickinson;46.7974014282;-102.802001953
EAR;KEAR;Kearney Regional Airport;2;7094;2131;US;US-NE;Kearney;40.72700119;-99.00679779
FMN;KFMN;Four Corners Regional Airport;2;6704;5506;US;US-NM;Farmington;36.7411994934;-108.230003357
GUC;KGUC;Gunnison Crested Butte Regional Airport;2;9400;7680;US;US-CO;Gunnison;38.53390121;-106.9329987
ILG;KILG;New Castle Airport;3;7181;80;US;US-DE;Wilmington;39.67869949;-75.60649872
ISN;KISN;Sloulin Field International Airport;2;6650;1982;US;US-ND;Williston;48.177898407;-103.641998291
LAR;KLAR;Laramie Regional Airport;2;8500;7284;US;US-WY;Laramie;41.3120994567871;-105.675003051758
LBF;KLBF;North Platte Regional Airport Lee Bird Field;2;8000;2777;US;US-NE;North Platte;41.12620163;-100.6839981
LBL;KLBL;Liberal Mid-America Regional Airport;2;7105;2885;US;US-KS;Liberal;37.0442009;-100.9599991
LNK;KLNK;Lincoln Airport;3;12901;1219;US;US-NE;Lincoln;40.851001739502;-96.7592010498047
MCK;KMCK;Mc Cook Ben Nelson Regional Airport;3;6449;2583;US;US-NE;Mc Cook;40.20629883;-100.5920029
MOT;KMOT;Minot International Airport;2;7700;1716;US;US-ND;Minot;48.2593994140625;-101.279998779297
MTJ;KMTJ;Montrose Regional Airport;2;10000;5759;US;US-CO;Montrose;38.5097999573;-107.893997192
PGA;KPGA;Page Municipal Airport;2;5950;4316;US;US-AZ;Page;36.92610168;-111.447998
PIR;KPIR;Pierre Regional Airport;2;6900;1744;US;US-SD;Pierre;44.38270187;-100.2860031
PUB;KPUB;Pueblo Memorial Airport;4;10496;4726;US;US-CO;Pueblo;38.2891006469727;-104.497001647949
RIW;KRIW;Riverton Regional Airport;2;8203;5525;US;US-WY;Riverton;43.064201355;-108.459999084
SHR;KSHR;Sheridan County Airport;3;8300;4021;US;US-WY;Sheridan;44.7691993713379;-106.980003356934
ART;KART;Watertown International Airport;2;5000;325;US;US-NY;Watertown;43.9919013977051;-76.0216979980469
CMX;KCMX;Houghton County Memorial Airport;2;6501;1095;US;US-MI;Hancock;47.168399810791;-88.4890975952148
CWA;KCWA;Central Wisconsin Airport;2;7645;1277;US;US-WI;Mosinee;44.7775993347;-89.6668014526
DBQ;KDBQ;Dubuque Regional Airport;2;6502;1077;US;US-IA;Dubuque;42.40200043;-90.70950317
DEC;KDEC;Decatur Airport;3;8496;682;US;US-IL;Decatur;39.8345985412598;-88.8656997680664
DLH;KDLH;Duluth International Airport;2;10152;1428;US;US-MN;Duluth;46.8420982361;-92.1936035156
EAU;KEAU;Chippewa Valley Regional Airport;2;8101;913;US;US-WI;Eau Claire;44.8657989501953;-91.4842987060547
ELM;KELM;Elmira Corning Regional Airport;3;7000;954;US;US-NY;Elmira/Corning;42.1599006652832;-76.8916015625
LSE;KLSE;La Crosse Municipal Airport;3;8537;655;US;US-WI;La Crosse;43.87900162;-91.25669861
MKG;KMKG;Muskegon County Airport;2;6501;629;US;US-MI;Muskegon;43.16949844;-86.23819733
PAH;KPAH;Barkley Regional Airport;2;6499;410;US;US-KY;Paducah;37.0607986450195;-88.7738037109375
STC;KSTC;St Cloud Regional Airport;2;7000;1031;US;US-MN;St Cloud;45.5466003417969;-94.0598983764648
TOL;KTOL;Toledo Express Airport;2;10600;683;US;US-OH;Toledo;41.58679962;-83.80780029
TVC;KTVC;Cherry Capital Airport;3;6501;624;US;US-MI;Traverse City;44.7414016723633;-85.5821990966797
SCE;KUNV;University Park Airport;1;6701;1239;US;US-PA;State College;40.8493003845;-77.8487014771
SUV;NFNA;Nausori International Airport;1;6129;17;FJ;FJ-C;Nausori;-18.0433006286621;178.559005737305
TBU;NFTF;Fua'amotu International Airport;2;8795;126;TO;TO-04;Nuku'alofa;-21.2411994934082;-175.149993896484
VLI;NVVV;Port Vila Bauerfield Airport;2;8530;70;VU;VU-SEE;Port Vila;-17.6993007659912;168.320007324219
