Country;Region;Population;Area (sq. mi.);GDP ($ per capita);Literacy (%)
Chile ;LATIN AMER. & CARIB    ;16134219;756950;9900;96.2
China ;ASIA (EX. NEAR EAST)         ;1313973713;9596960;5000;90.9
Colombia ;LATIN AMER. & CARIB    ;43593035;1138910;6300;92.5
Comoros ;SUB-SAHARAN AFRICA                 ;690948;2170;700;56.5
Congo, Dem. Rep. ;SUB-SAHARAN AFRICA                 ;62660551;2345410;700;65.5
Congo, Repub. of the ;SUB-SAHARAN AFRICA                 ;3702314;342000;700;83.8
Cook Islands ;OCEANIA                            ;21388;240;5000;95.0
Costa Rica ;LATIN AMER. & CARIB    ;4075261;51100;9100;96.0
Cote d'Ivoire ;SUB-SAHARAN AFRICA                 ;17654843;322460;1400;50.9
Croatia ;EASTERN EUROPE                     ;4494749;56542;10600;98.5
Cuba ;LATIN AMER. & CARIB    ;11382820;110860;2900;97.0
Cyprus ;NEAR EAST                          ;784301;9250;19200;97.6
Czech Republic ;EASTERN EUROPE                     ;10235455;78866;15700;99.9
Denmark ;WESTERN EUROPE                     ;5450661;43094;31100;100.0
Djibouti ;SUB-SAHARAN AFRICA                 ;486530;23000;1300;67.9
Dominica ;LATIN AMER. & CARIB    ;68910;754;5400;94.0
Dominican Republic ;LATIN AMER. & CARIB    ;9183984;48730;6000;84.7
East Timor ;ASIA (EX. NEAR EAST)         ;1062777;15007;500;58.6
Ecuador ;LATIN AMER. & CARIB    ;13547510;283560;3300;92.5
Egypt ;NORTHERN AFRICA                    ;78887007;1001450;4000;57.7
El Salvador ;LATIN AMER. & CARIB    ;6822378;21040;4800;80.2
Equatorial Guinea ;SUB-SAHARAN AFRICA                 ;540109;28051;2700;85.7
Eritrea ;SUB-SAHARAN AFRICA                 ;4786994;121320;700;58.6
Estonia ;BALTICS                            ;1324333;45226;12300;99.8
Ethiopia ;SUB-SAHARAN AFRICA                 ;74777981;1127127;700;42.7
Faroe Islands ;WESTERN EUROPE                     ;47246;1399;22000;
Fiji ;OCEANIA                            ;905949;18270;5800;93.7
Finland ;WESTERN EUROPE                     ;5231372;338145;27400;100.0
France ;WESTERN EUROPE                     ;60876136;547030;27600;99.0
French Guiana ;LATIN AMER. & CARIB    ;199509;91000;8300;83.0
French Polynesia ;OCEANIA                            ;274578;4167;17500;98.0
Gabon ;SUB-SAHARAN AFRICA                 ;1424906;267667;5500;63.2
Gambia, The ;SUB-SAHARAN AFRICA                 ;1641564;11300;1700;40.1
Gaza Strip ;NEAR EAST                          ;1428757;360;600;
Georgia ;C.W. OF IND. STATES ;4661473;69700;2500;99.0
Germany ;WESTERN EUROPE                     ;82422299;357021;27600;99.0
Ghana ;SUB-SAHARAN AFRICA                 ;22409572;239460;2200;74.8
Gibraltar ;WESTERN EUROPE                     ;27928;7;17500;
Greece ;WESTERN EUROPE                     ;10688058;131940;20000;97.5
Greenland ;NORTHERN AMERICA                   ;56361;2166086;20000;
Grenada ;LATIN AMER. & CARIB    ;89703;344;5000;98.0
Guadeloupe ;LATIN AMER. & CARIB    ;452776;1780;8000;90.0
Guam ;OCEANIA                            ;171019;541;21000;99.0
Guatemala ;LATIN AMER. & CARIB    ;12293545;108890;4100;70.6
Guernsey ;WESTERN EUROPE                     ;65409;78;20000;
Guinea ;SUB-SAHARAN AFRICA                 ;9690222;245857;2100;35.9
Guinea-Bissau ;SUB-SAHARAN AFRICA                 ;1442029;36120;800;42.4
Guyana ;LATIN AMER. & CARIB    ;767245;214970;4000;98.8
Haiti ;LATIN AMER. & CARIB    ;8308504;27750;1600;52.9
Honduras ;LATIN AMER. & CARIB    ;7326496;112090;2600;76.2
Hong Kong ;ASIA (EX. NEAR EAST)         ;6940432;1092;28800;93.5
Hungary ;EASTERN EUROPE                     ;9981334;93030;13900;99.4
Iceland ;WESTERN EUROPE                     ;299388;103000;30900;99.9
India ;ASIA (EX. NEAR EAST)         ;1095351995;3287590;2900;59.5
Indonesia ;ASIA (EX. NEAR EAST)         ;245452739;1919440;3200;87.9
Iran ;ASIA (EX. NEAR EAST)         ;68688433;1648000;7000;79.4
Iraq ;NEAR EAST                          ;26783383;437072;1500;40.4
Ireland ;WESTERN EUROPE                     ;4062235;70280;29600;98.0
Isle of Man ;WESTERN EUROPE                     ;75441;572;21000;
Israel ;NEAR EAST                          ;6352117;20770;19800;95.4
Italy ;WESTERN EUROPE                     ;58133509;301230;26700;98.6
Jamaica ;LATIN AMER. & CARIB    ;2758124;10991;3900;87.9
Japan ;ASIA (EX. NEAR EAST)         ;127463611;377835;28200;99.0
Jersey ;WESTERN EUROPE                     ;91084;116;24800;
Jordan ;NEAR EAST                          ;5906760;92300;4300;91.3
Kazakhstan ;C.W. OF IND. STATES ;15233244;2717300;6300;98.4
Kenya ;SUB-SAHARAN AFRICA                 ;34707817;582650;1000;85.1
Kiribati ;OCEANIA                            ;105432;811;800;
Korea, North ;ASIA (EX. NEAR EAST)         ;23113019;120540;1300;99.0
Korea, South ;ASIA (EX. NEAR EAST)         ;48846823;98480;17800;97.9
Kuwait ;NEAR EAST                          ;2418393;17820;19000;83.5
Kyrgyzstan ;C.W. OF IND. STATES ;5213898;198500;1600;97.0
Laos ;ASIA (EX. NEAR EAST)         ;6368481;236800;1700;66.4
Latvia ;BALTICS                            ;2274735;64589;10200;99.8
Lebanon ;NEAR EAST                          ;3874050;10400;4800;87.4
Lesotho ;SUB-SAHARAN AFRICA                 ;2022331;30355;3000;84.8
Liberia ;SUB-SAHARAN AFRICA                 ;3042004;111370;1000;57.5
Libya ;NORTHERN AFRICA                    ;5900754;1759540;6400;82.6
Liechtenstein ;WESTERN EUROPE                     ;33987;160;25000;100.0
Lithuania ;BALTICS                            ;3585906;65200;11400;99.6
Luxembourg ;WESTERN EUROPE                     ;474413;2586;55100;100.0
Macau ;ASIA (EX. NEAR EAST)         ;453125;28;19400;94.5
Macedonia ;EASTERN EUROPE                     ;2050554;25333;6700;
Madagascar ;SUB-SAHARAN AFRICA                 ;18595469;587040;800;68.9
Malawi ;SUB-SAHARAN AFRICA                 ;13013926;118480;600;62.7
Malaysia ;ASIA (EX. NEAR EAST)         ;24385858;329750;9000;88.7
Maldives ;ASIA (EX. NEAR EAST)         ;359008;300;3900;97.2
Mali ;SUB-SAHARAN AFRICA                 ;11716829;1240000;900;46.4
Malta ;WESTERN EUROPE                     ;400214;316;17700;92.8
Marshall Islands ;OCEANIA                            ;60422;11854;1600;93.7
Martinique ;LATIN AMER. & CARIB    ;436131;1100;14400;97.7
Mauritania ;SUB-SAHARAN AFRICA                 ;3177388;1030700;1800;41.7
Mauritius ;SUB-SAHARAN AFRICA                 ;1240827;2040;11400;85.6
Mayotte ;SUB-SAHARAN AFRICA                 ;201234;374;2600;
Mexico ;LATIN AMER. & CARIB    ;107449525;1972550;9000;92.2
Micronesia, Fed. St. ;OCEANIA                            ;108004;702;2000;89.0
Moldova ;C.W. OF IND. STATES ;4466706;33843;1800;99.1
Monaco ;WESTERN EUROPE                     ;32543;2;27000;99.0
Mongolia ;ASIA (EX. NEAR EAST)         ;2832224;1564116;1800;97.8
Montserrat ;LATIN AMER. & CARIB    ;9439;102;3400;97.0
Morocco ;NORTHERN AFRICA                    ;33241259;446550;4000;51.7
Mozambique ;SUB-SAHARAN AFRICA                 ;19686505;801590;1200;47.8
Namibia ;SUB-SAHARAN AFRICA                 ;2044147;825418;7200;84.0
Nauru ;OCEANIA                            ;13287;21;5000;
Nepal ;ASIA (EX. NEAR EAST)         ;28287147;147181;1400;45.2
Netherlands ;WESTERN EUROPE                     ;16491461;41526;28600;99.0
Netherlands Antilles ;LATIN AMER. & CARIB    ;221736;960;11400;96.7
New Caledonia ;OCEANIA                            ;219246;19060;15000;91.0
New Zealand ;OCEANIA                            ;4076140;268680;21600;99.0
Nicaragua ;LATIN AMER. & CARIB    ;5570129;129494;2300;67.5
Niger ;SUB-SAHARAN AFRICA                 ;12525094;1267000;800;17.6
Nigeria ;SUB-SAHARAN AFRICA                 ;131859731;923768;900;68.0
N. Mariana Islands ;OCEANIA                            ;82459;477;12500;97.0
Norway ;WESTERN EUROPE                     ;4610820;323802;37800;100.0
Oman ;NEAR EAST                          ;3102229;212460;13100;75.8
Pakistan ;ASIA (EX. NEAR EAST)         ;165803560;803940;2100;45.7
Palau ;OCEANIA                            ;20579;458;9000;92.0
Panama ;LATIN AMER. & CARIB    ;3191319;78200;6300;92.6
Papua New Guinea ;OCEANIA                            ;5670544;462840;2200;64.6
Paraguay ;LATIN AMER. & CARIB    ;6506464;406750;4700;94.0
Peru ;LATIN AMER. & CARIB    ;28302603;1285220;5100;90.9
Philippines ;ASIA (EX. NEAR EAST)         ;89468677;300000;4600;92.6
Poland ;EASTERN EUROPE                     ;38536869;312685;11100;99.8
Portugal ;WESTERN EUROPE                     ;10605870;92391;18000;93.3
Puerto Rico ;LATIN AMER. & CARIB    ;3927188;13790;16800;94.1
